,diff,y,x,band,spatial_ref,elevation_rema,geometry,index_icesat2,latitude,longitude,velocity,date,elevation_icesat2,dist
143867,1.5980072021484375,-1855411.2285714285,1845206.9542902966,1,0,27.623749,POINT (1845206.9542902966 -1855411.2285714285),1047455,-66.24882539797598,135.15769350456682,,2022-01-09,29.221755981445312,17.73135053649218
143868,1.4972515106201172,-1855411.2285714285,1845236.4266238974,1,0,27.548195,POINT (1845236.4266238974 -1855411.2285714285),1047457,-66.248292655294,135.1575429989894,,2022-01-09,29.045446395874023,28.11310748904092
143869,1.268930435180664,-1855411.2285714285,1845265.8989574981,1,0,27.776516,POINT (1845265.8989574981 -1855411.2285714285),1047457,-66.248292655294,135.1575429989894,,2022-01-09,29.045446395874023,22.603639674897366
145115,1.5958404541015625,-1855441.7673469388,1845236.4266238974,1,0,27.449606,POINT (1845236.4266238974 -1855441.7673469388),1047457,-66.248292655294,135.1575429989894,,2022-01-09,29.045446395874023,22.016263722488524
145116,1.7115917205810547,-1855441.7673469388,1845265.8989574981,1,0,27.333855,POINT (1845265.8989574981 -1855441.7673469388),1047457,-66.248292655294,135.1575429989894,,2022-01-09,29.045446395874023,14.328069729045495
145117,1.2561473846435547,-1855441.7673469388,1845295.3712910987,1,0,27.51269,POINT (1845295.3712910987 -1855441.7673469388),1047459,-66.2477604507884,135.15739217783678,,2022-01-09,28.768836975097656,28.734584861543826
146364,1.482147216796875,-1855472.306122449,1845295.3712910987,1,0,27.28669,POINT (1845295.3712910987 -1855472.306122449),1047459,-66.2477604507884,135.15739217783678,,2022-01-09,28.768836975097656,8.445094986104102
146365,1.4859676361083984,-1855472.306122449,1845324.8436246994,1,0,27.28287,POINT (1845324.8436246994 -1855472.306122449),1047459,-66.2477604507884,135.15739217783678,,2022-01-09,28.768836975097656,21.744355153399784
147612,1.5376033782958984,-1855502.8448979591,1845324.8436246994,1,0,26.927217,POINT (1845324.8436246994 -1855502.8448979591),1047461,-66.24722836974668,135.15725447885433,,2022-01-09,28.464820861816406,25.86768267384763
147613,1.2762985229492188,-1855502.8448979591,1845354.3159583,1,0,27.188522,POINT (1845354.3159583 -1855502.8448979591),1047461,-66.24722836974668,135.15725447885433,,2022-01-09,28.464820861816406,6.319030631950112
148860,1.527719497680664,-1855533.3836734693,1845354.3159583,1,0,26.937101,POINT (1845354.3159583 -1855533.3836734693),1047461,-66.24722836974668,135.15725447885433,,2022-01-09,28.464820861816406,26.016977296222546
148861,1.239175796508789,-1855533.3836734693,1845383.7882919007,1,0,26.898653,POINT (1845383.7882919007 -1855533.3836734693),1047463,-66.24669594533827,135.1571045475078,,2022-01-09,28.137828826904297,18.47792900379019
148862,1.2498855590820312,-1855533.3836734693,1845413.2606255012,1,0,26.887943,POINT (1845413.2606255012 -1855533.3836734693),1047463,-66.24669594533827,135.1571045475078,,2022-01-09,28.137828826904297,19.843788982536477
150108,1.1583614349365234,-1855563.9224489795,1845383.7882919007,1,0,26.979467,POINT (1845383.7882919007 -1855563.9224489795),1047463,-66.24669594533827,135.1571045475078,,2022-01-09,28.137828826904297,22.953220313093848
150109,1.2909355163574219,-1855563.9224489795,1845413.2606255012,1,0,26.846893,POINT (1845413.2606255012 -1855563.9224489795),1047463,-66.24669594533827,135.1571045475078,,2022-01-09,28.137828826904297,24.066416925993558
